Strike,Ticker,Bid,Ask,Last,IVM,Volm,Maturity,Type,Price Date,Underlying
2000,AMZN 4/17/20 C2000,47.25,49.5,47.19999695,30.14206696,1705,4/17/2020,Call,4/7/2020,AMZN
2000,AMZN 5/15/20 C2000,102.3500061,106,102,36.98701859,349,5/15/2020,Call,4/7/2020,AMZN
2000,AMZN 6/19/20 C2000,127.3500061,133.1999969,134.25,33.83985138,110,6/19/2020,Call,4/7/2020,AMZN
2000,AMZN 7/17/20 C2000,140.6499939,148,145,31.96704865,31,7/17/2020,Call,4/7/2020,AMZN
2000,AMZN 4/17/20 P2000,32,33.94999695,33.25,30.4877491,1042,4/17/2020,Put,4/7/2020,AMZN
2000,AMZN 5/15/20 P2000,86.90000916,90.30000305,91,37.53847885,137,5/15/2020,Put,4/7/2020,AMZN
2000,AMZN 6/19/20 P2000,110.4000092,114,112.8000031,33.86551666,39,6/19/2020,Put,4/7/2020,AMZN
2000,AMZN 7/17/20 P2000,123.5,129.6999969,127.6000061,32.37366104,39,7/17/2020,Put,4/7/2020,AMZN
170,FB 4/17/20 C170,4.449999809,4.699999809,4.280000687,42.78406143,4175,4/17/2020,Call,4/7/2020,FB
170,FB 5/15/20 C170,9.350000381,9.699999809,9.649999619,44.53150558,1214,5/15/2020,Call,4/7/2020,FB
170,FB 6/19/20 C170,11.39999962,12.94999981,11.85999966,40.73640823,747,6/19/2020,Call,4/7/2020,FB
170,FB 9/18/20 C170,16.05000305,17.6000061,16.75,37.09460068,82,9/18/2020,Call,4/7/2020,FB
170,FB 4/17/20 P170,5.150000572,5.449999809,5.600000381,45.16588974,3311,4/17/2020,Put,4/7/2020,FB
170,FB 5/15/20 P170,9.899999619,10.5,10.5,45.89102173,792,5/15/2020,Put,4/7/2020,FB
170,FB 6/19/20 P170,11.85000038,12.60000038,12.60000038,39.99324799,682,6/19/2020,Put,4/7/2020,FB
170,FB 9/18/20 P170,16,17.80000305,17.3500061,37.45874786,1073,9/18/2020,Put,4/7/2020,FB
25,UAL 4/17/20 C25,2.170000076,2.380000114,2.220000267,153.8914185,449,4/17/2020,Call,4/7/2020,UAL
25,UAL 5/15/20 C25,4.100000381,4.199999809,4.199999809,141.902359,98,5/15/2020,Call,4/7/2020,UAL
25,UAL 6/19/20 C25,4.800000191,5.25,4.550000191,120.5253983,80,6/19/2020,Call,4/7/2020,UAL
25,UAL 7/17/20 C25,5.099999428,5.800000191,7.699999809,110.4536285,6,7/17/2020,Call,4/7/2020,UAL
25,UAL 4/17/20 P25,2.699999809,2.869999886,2.81000042,155.5364685,808,4/17/2020,Put,4/7/2020,UAL
25,UAL 5/15/20 P25,4.600000381,4.75,4.699999809,137.8802338,588,5/15/2020,Put,4/7/2020,UAL
25,UAL 6/19/20 P25,5.300000191,5.550000191,5.350000381,119.137001,925,6/19/2020,Put,4/7/2020,UAL
25,UAL 7/17/20 P25,5.75,6.199999809,5.949999809,112.8162384,12,7/17/2020,Put,4/7/2020,UAL
190,BRKB 4/17/20 C190,1.369999886,2.869999886,2.800000191,31.26223755,162,4/17/2020,Call,4/7/2020,BRK
190,BRKB 5/15/20 C190,5.199999809,5.900000572,6.100000381,30.80387306,88,5/15/2020,Call,4/7/2020,BRK
190,BRKB 6/19/20 C190,7.600000381,9.25,8.119999886,30.73885155,68,6/19/2020,Call,4/7/2020,BRK
195,BRKB 8/21/20 C195,8.350000381,11.44999981,9.5,29.97015762,71,8/21/2020,Call,4/7/2020,BRK
190,BRKB 4/17/20 P190,3.850000381,7.300000191,4.650000572,24.0570488,266,4/17/2020,Put,4/7/2020,BRK
190,BRKB 5/15/20 P190,9.100000381,10.10000038,9.600000381,30.39134407,73,5/15/2020,Put,4/7/2020,BRK
190,BRKB 6/19/20 P190,11.64999962,12.5,9.75,29.84101868,46,6/19/2020,Put,4/7/2020,BRK
190,BRKB 8/21/20 P190,14.30000019,16.8500061,14.14999962,29.75766754,4,8/21/2020,Put,4/7/2020,BRK
2875,SPX 5/15/20 C2875,102.5999908,104.1999969,98.88999939,32.83737946,1563,5/15/2020,Call,4/14/2020,SPX
2865,SPX 6/19/20 C2865,156.1000061,157.6000061,156.1699982,32.51349258,805,6/19/2020,Call,4/14/2020,SPX
2850,SPX 8/21/20 C2850,220,222.1999969,207,31.98752975,319,8/21/2020,Call,4/14/2020,SPX
2850,SPX 9/18/20 C2850,236.3999939,238.6000061,218.6799927,31.3633728,1783,9/18/2020,Call,4/14/2020,SPX
2870,SPX 5/15/20 P2870,101,102.3000031,102.6999969,32.91099167,128,5/15/2020,Put,4/14/2020,SPX
2865,SPX 6/19/20 P2865,149.8999939,151.3999939,151.3000031,32.47076797,725,6/19/2020,Put,4/14/2020,SPX
2850,SPX 8/21/20 P2850,204.1999969,206.1999969,222.4400024,31.98043823,301,8/21/2020,Put,4/14/2020,SPX
2850,SPX 9/18/20 P2850,223.3000031,225,226.9700012,31.3357296,1799,9/18/2020,Put,4/14/2020,SPX
